value,description,codesystem,code,iri
Abnormal finger flexion creases,,HP,HP:0006143,http://purl.obolibrary.org/obo/HP_0006143
Shortening of all proximal phalanges of the fingers,Congenital hypoplasia of proximal phalanx of finger or all fingers.,HP,HP:0006144,http://purl.obolibrary.org/obo/HP_0006144
Central Y-shaped metacarpal,"A central Y-shaped metacarpal is the result of a partial fusion of two central metacarpals (i.e., metacarpals 2-4) of the hand, with the two arms of the Y pointing in the distal direction. Central Y-shaped metacarpals may be seen as a result of a central polydactyly with partial fusion of the duplicated metacarpal.",HP,HP:0006145,http://purl.obolibrary.org/obo/HP_0006145
Broad metacarpal epiphyses,Increased side-to-side width of the metacarpal epiphyses.,HP,HP:0006146,http://purl.obolibrary.org/obo/HP_0006146
Progressive fusion 2nd-5th pip joints,,HP,HP:0006147,http://purl.obolibrary.org/obo/HP_0006147
Increased laxity of fingers,,HP,HP:0006149,http://purl.obolibrary.org/obo/HP_0006149
Swan neck-like deformities of the fingers,"A swan neck deformity describes a finger with a hyperextended PIP joint and a flexed DIP joint. The most common cause for a swan neck-like deformity is a disruption of the end of the extensor tendon. Conditions that loosen the PIP joint and allow it to hyperextend, for example conditions that weaken the volar plate, can produce a swan neck deformity of the finger. One example is rheumatoid arthritis. Another cause are conditions that tighten up the small (intrinsic) muscles of the hand and fingers, for example hand trauma or nerve disorders, such as cerebral palsy, Parkinson's disease, or stroke.",HP,HP:0006150,http://purl.obolibrary.org/obo/HP_0006150
Proximal symphalangism of hands,"The term proximal symphalangism refers to a bony fusion of the middle and proximal phalanges of the digits of the hand, in other words the proximal interphalangeal joint (PIJ) is missing which can be seen either on x-rays or as an absence of the proximal interphalangeal finger creases.",HP,HP:0006152,http://purl.obolibrary.org/obo/HP_0006152
Disharmonious carpal bone,,HP,HP:0006153,http://purl.obolibrary.org/obo/HP_0006153
Long phalanx of finger,Increased length of multiple or a single phalanx of finger.,HP,HP:0006155,http://purl.obolibrary.org/obo/HP_0006155
Ulnar deviation of thumb,Bending or curvature of a thumb towards the ulnar side (towards the ring finger).,HP,HP:0006156,http://purl.obolibrary.org/obo/HP_0006156
Prominent palmar flexion creases,,HP,HP:0006157,http://purl.obolibrary.org/obo/HP_0006157
obsolete Finger joint hyperextensibility,,HP,HP:0006158,http://purl.obolibrary.org/obo/HP_0006158
Mesoaxial hand polydactyly,The presence of a supernumerary finger (not a thumb) involving the third or fourth metacarpal with associated osseous syndactyly.,HP,HP:0006159,http://purl.obolibrary.org/obo/HP_0006159
Irregular metacarpals,Irregular morphology of one or more metacarpal bones.,HP,HP:0006160,http://purl.obolibrary.org/obo/HP_0006160
Short metacarpals with rounded proximal ends,,HP,HP:0006161,http://purl.obolibrary.org/obo/HP_0006161
Soft tissue swelling of interphalangeal joints,,HP,HP:0006162,http://purl.obolibrary.org/obo/HP_0006162
Enlarged metacarpophalangeal joints,,HP,HP:0006163,http://purl.obolibrary.org/obo/HP_0006163
Proportionate shortening of all digits,,HP,HP:0006165,http://purl.obolibrary.org/obo/HP_0006165
Tubular metacarpal bones,,HP,HP:0006166,http://purl.obolibrary.org/obo/HP_0006166
Prominent proximal interphalangeal joints,,HP,HP:0006167,http://purl.obolibrary.org/obo/HP_0006167
Decreased mobility 3rd-5th fingers,,HP,HP:0006169,http://purl.obolibrary.org/obo/HP_0006169
Chess-pawn distal phalanges,A morphological abnormality of distal phalanges such that they have the appearance of chess pawns.,HP,HP:0006170,http://purl.obolibrary.org/obo/HP_0006170
"Flattened, squared-off epiphyses of tubular bones",,HP,HP:0006172,http://purl.obolibrary.org/obo/HP_0006172
Metacarpal diaphyseal endosteal sclerosis,Increase in bone density in the diaphyseal (shaft) region of a metacarpal bone.,HP,HP:0006174,http://purl.obolibrary.org/obo/HP_0006174
Proximal phalangeal periosteal thickening,,HP,HP:0006175,http://purl.obolibrary.org/obo/HP_0006175
Two carpal ossification centers present at birth,,HP,HP:0006176,http://purl.obolibrary.org/obo/HP_0006176
Pseudoepiphyses of second metacarpal,,HP,HP:0006179,http://purl.obolibrary.org/obo/HP_0006179
Crowded carpal bones,,HP,HP:0006180,http://purl.obolibrary.org/obo/HP_0006180
Decreased palmar creases,Poorly defined or shallow palmar creases.,HP,HP:0006184,http://purl.obolibrary.org/obo/HP_0006184
Enlarged proximal interphalangeal joints,,HP,HP:0006185,http://purl.obolibrary.org/obo/HP_0006185
Fusion of midphalangeal joints,,HP,HP:0006187,http://purl.obolibrary.org/obo/HP_0006187
Prominent interdigital folds,,HP,HP:0006189,http://purl.obolibrary.org/obo/HP_0006189
Radially deviated wrists,,HP,HP:0006190,http://purl.obolibrary.org/obo/HP_0006190
Deep palmar crease,Excessively deep creases of the palm.,HP,HP:0006191,http://purl.obolibrary.org/obo/HP_0006191
Tapered phalanx of finger,Phalanges of the fingers becoming thinner toward the distal end.,HP,HP:0006192,http://purl.obolibrary.org/obo/HP_0006192
Thimble-shaped middle phalanges of hand,"The middle phalanx of finger resembles a thimble, a small metal cap to protect the finger while sewing that has a broad (proximal) base and narrower top, whereby both base and top are flat.",HP,HP:0006193,http://purl.obolibrary.org/obo/HP_0006193
Widened distal phalanges,,HP,HP:0006200,http://purl.obolibrary.org/obo/HP_0006200
Hypermobility of distal interphalangeal joints,,HP,HP:0006201,http://purl.obolibrary.org/obo/HP_0006201
Osteolysis of scaphoids,,HP,HP:0006202,http://purl.obolibrary.org/obo/HP_0006202
Decreased movement range in interphalangeal joints,,HP,HP:0006203,http://purl.obolibrary.org/obo/HP_0006203
Irregular phalanges,Alteration of the normally smooth radiographic contour of phalanges producing an irregular appearance.,HP,HP:0006205,http://purl.obolibrary.org/obo/HP_0006205
Hypersegmentation of proximal phalanx of second finger,"Presence of an additional phalanx-like bone, producing an extra, wedge-shaped bone at the base of the proximal phalanx of the second finger.",HP,HP:0006206,http://purl.obolibrary.org/obo/HP_0006206
Partial fusion of carpals,,HP,HP:0006207,http://purl.obolibrary.org/obo/HP_0006207
Metaphyseal cupping of proximal phalanges,Metaphyseal cupping affecting the proximal phalanges.,HP,HP:0006208,http://purl.obolibrary.org/obo/HP_0006208
Partial-complete absence of 5th phalanges,,HP,HP:0006209,http://purl.obolibrary.org/obo/HP_0006209
Postaxial oligodactyly,,HP,HP:0006210,http://purl.obolibrary.org/obo/HP_0006210
Thin proximal phalanges with broad epiphyses of the hand,,HP,HP:0006213,http://purl.obolibrary.org/obo/HP_0006213
Single interphalangeal crease of fifth finger,"Presence of only one (instead of two, as normal) interphalangeal crease of the fifth finger.",HP,HP:0006216,http://purl.obolibrary.org/obo/HP_0006216
Limited mobility of proximal interphalangeal joint,,HP,HP:0006217,http://purl.obolibrary.org/obo/HP_0006217
Tapering pointed ends of distal finger phalanges,A reduction in diameter of the distal phalanx of finger towards the distal end such that the tip of the phalanx comes to a point (this feature can be observed on radiograms).,HP,HP:0006224,http://purl.obolibrary.org/obo/HP_0006224
Osteoarthritis of the first carpometacarpal joint,,HP,HP:0006226,http://purl.obolibrary.org/obo/HP_0006226
Valgus hand deformity,,HP,HP:0006228,http://purl.obolibrary.org/obo/HP_0006228
Unilateral oligodactyly,,HP,HP:0006230,http://purl.obolibrary.org/obo/HP_0006230
Expanded metacarpals with widened medullary cavities,,HP,HP:0006232,http://purl.obolibrary.org/obo/HP_0006232
Osteoarthritis of the distal interphalangeal joint,,HP,HP:0006233,http://purl.obolibrary.org/obo/HP_0006233
Osteolysis involving tarsal bones,An increased resorption of bone matrix by osteoclasts leading to bony defects involving the tarsal bones.,HP,HP:0006234,http://purl.obolibrary.org/obo/HP_0006234
Slender metacarpals,"Decreased width of the metacarpal bones (that is, reduced diameter).",HP,HP:0006236,http://purl.obolibrary.org/obo/HP_0006236
Prominent interphalangeal joints,,HP,HP:0006237,http://purl.obolibrary.org/obo/HP_0006237
Shortening of all middle phalanges of the toes,Abnormal shortening of all middle phalanges of toes.,HP,HP:0006239,http://purl.obolibrary.org/obo/HP_0006239
Phalangeal dislocation,,HP,HP:0006243,http://purl.obolibrary.org/obo/HP_0006243
Enlarged interphalangeal joints,,HP,HP:0006247,http://purl.obolibrary.org/obo/HP_0006247
Limited wrist movement,An abnormal limitation of the mobility of the wrist.,HP,HP:0006248,http://purl.obolibrary.org/obo/HP_0006248
Limited wrist extension,,HP,HP:0006251,http://purl.obolibrary.org/obo/HP_0006251
Interphalangeal joint erosions,,HP,HP:0006252,http://purl.obolibrary.org/obo/HP_0006252
Swelling of proximal interphalangeal joints,,HP,HP:0006253,http://purl.obolibrary.org/obo/HP_0006253
Elevated alpha-fetoprotein,An increased concentration of alpha-fetoprotein.,HP,HP:0006254,http://purl.obolibrary.org/obo/HP_0006254
Abnormality of hand joint mobility,,HP,HP:0006256,http://purl.obolibrary.org/obo/HP_0006256
Abnormality of carpal bone ossification,,HP,HP:0006257,http://purl.obolibrary.org/obo/HP_0006257
Abnormal phalangeal joint morphology of the hand,,HP,HP:0006261,http://purl.obolibrary.org/obo/HP_0006261
Aplasia/Hypoplasia of the 5th finger,A small/hypoplastic or absent/aplastic 5th finger.,HP,HP:0006262,http://purl.obolibrary.org/obo/HP_0006262
Abnormality of the epiphyses of the 2nd finger,"Abnormality of one or all of the epiphyses of the proximal, middle, and distal phalanges of the 2nd finger.",HP,HP:0006263,http://purl.obolibrary.org/obo/HP_0006263
Aplasia/Hypoplasia of the 2nd finger,A small/hypoplastic or absent/aplastic 2nd finger.,HP,HP:0006264,http://purl.obolibrary.org/obo/HP_0006264
Aplasia/Hypoplasia of fingers,Small/hypoplastic or absent/aplastic fingers.,HP,HP:0006265,http://purl.obolibrary.org/obo/HP_0006265
Small placenta,Reduced size of the placenta.,HP,HP:0006266,http://purl.obolibrary.org/obo/HP_0006266
Large placenta,Increased size of the placenta.,HP,HP:0006267,http://purl.obolibrary.org/obo/HP_0006267
Fluctuating splenomegaly,Intermittently increased size of the spleen.,HP,HP:0006268,http://purl.obolibrary.org/obo/HP_0006268
Hypoplastic spleen,Underdevelopment of the spleen.,HP,HP:0006270,http://purl.obolibrary.org/obo/HP_0006270
Pancreatic lymphangiectasis,The presence of lymphangiectasis in the pancreas.,HP,HP:0006273,http://purl.obolibrary.org/obo/HP_0006273
Reduced pancreatic beta cells,Reduced number of beta cells in the pancreatic islets of Langerhans.,HP,HP:0006274,http://purl.obolibrary.org/obo/HP_0006274
Hyperechogenic pancreas,,HP,HP:0006276,http://purl.obolibrary.org/obo/HP_0006276
Pancreatic hyperplasia,Hyperplasia of the pancreas.,HP,HP:0006277,http://purl.obolibrary.org/obo/HP_0006277
Ectopic pancreatic tissue,"The presence of pancreatic tissue outside the normal pancreas, in many cases along the foregut and proximal midgut.",HP,HP:0006278,http://purl.obolibrary.org/obo/HP_0006278
Beta-cell dysfunction,,HP,HP:0006279,http://purl.obolibrary.org/obo/HP_0006279
Chronic pancreatitis,A chronic form of pancreatitis.,HP,HP:0006280,http://purl.obolibrary.org/obo/HP_0006280
Generalized hypoplasia of dental enamel,A generalized form of developmental hypoplasia of the dental enamel.,HP,HP:0006282,http://purl.obolibrary.org/obo/HP_0006282
Multiple unerupted teeth,The presence of multiple embedded tooth germs which have failed to erupt.,HP,HP:0006283,http://purl.obolibrary.org/obo/HP_0006283
Enamel hypomineralization,A decreased amount of enamel mineralization. Hypomineralized enamel has a brown discoloration and brittle aspect.,HP,HP:0006285,http://purl.obolibrary.org/obo/HP_0006285
Yellow-brown discoloration of the teeth,,HP,HP:0006286,http://purl.obolibrary.org/obo/HP_0006286
Advanced eruption of teeth,"Premature tooth eruption, which can be defined as tooth eruption more than 2 SD earlier than the mean eruption age.",HP,HP:0006288,http://purl.obolibrary.org/obo/HP_0006288
Agenesis of central incisor,"Agenesis of one or more central incisors, i.e., of lower secondary incisor, lower primary incisor, upper secondary incisor, or of upper central primary incisor.",HP,HP:0006289,http://purl.obolibrary.org/obo/HP_0006289
Discolored lateral incisors,The presence of discolored lateral incisors.,HP,HP:0006290,http://purl.obolibrary.org/obo/HP_0006290
Marked delay in eruption of permanent teeth,,HP,HP:0006291,http://purl.obolibrary.org/obo/HP_0006291
Abnormality of dental eruption,An abnormality of tooth eruption.,HP,HP:0006292,http://purl.obolibrary.org/obo/HP_0006292
Agenesis of maxillary central incisor,Agenesis of upper secondary incisor or of upper central primary incisor.,HP,HP:0006293,http://purl.obolibrary.org/obo/HP_0006293
Enamel hypoplasia,Developmental hypoplasia of the dental enamel.,HP,HP:0006297,http://purl.obolibrary.org/obo/HP_0006297
Prolonged bleeding after dental extraction,Prolonged bleeding post dental extraction sufficient to require medical intervention.,HP,HP:0006298,http://purl.obolibrary.org/obo/HP_0006298
Dagger-shaped pulp calcifications,Dagger-shaped calcifications in the dental pulp.,HP,HP:0006302,http://purl.obolibrary.org/obo/HP_0006302
Widely-spaced incisors,,HP,HP:0006304,http://purl.obolibrary.org/obo/HP_0006304
Atrophy of alveolar ridges,,HP,HP:0006308,http://purl.obolibrary.org/obo/HP_0006308
Generalized microdontia,A generalized form of microdontia.,HP,HP:0006311,http://purl.obolibrary.org/obo/HP_0006311
Widely spaced primary teeth,Increased space between the primary teeth. Note this phenotype should be distinguished from increased space due purely to microdontia.,HP,HP:0006313,http://purl.obolibrary.org/obo/HP_0006313
Solitary median maxillary central incisor,A single maxillary central incisor positioned in the midline with morphological symmetry of the crown and bordered by lateral incisors.,HP,HP:0006315,http://purl.obolibrary.org/obo/HP_0006315
Irregularly spaced teeth,"Irregular distribution of the teeth along the dental arch, i.e., and irregular spatial pattern of teeth.",HP,HP:0006316,http://purl.obolibrary.org/obo/HP_0006316
Multiple non-erupting secondary teeth,,HP,HP:0006321,http://purl.obolibrary.org/obo/HP_0006321
Premature loss of primary teeth,Loss of the primary (also known as deciduous) teeth before the usual age.,HP,HP:0006323,http://purl.obolibrary.org/obo/HP_0006323
Buried teeth encased in mucopolysaccharide,,HP,HP:0006326,http://purl.obolibrary.org/obo/HP_0006326
Alveolar process hypoplasia,Underdevelopment of the alveolar process (also known as alveolar bone).,HP,HP:0006329,http://purl.obolibrary.org/obo/HP_0006329
Rotated maxillary central incisors,,HP,HP:0006330,http://purl.obolibrary.org/obo/HP_0006330
Supernumerary maxillary incisor,"The presence of a supernumerary, i.e., extra, maxillary incisor, either the primary maxillary incisor or the permanent maxillary incisor.",HP,HP:0006332,http://purl.obolibrary.org/obo/HP_0006332
Crowded maxillary incisors,"A type of dental misalignment with crowded central incisors, i.e., of maxillary secondary incisor, or of maxillary central primary incisor.",HP,HP:0006333,http://purl.obolibrary.org/obo/HP_0006333
Hypoplasia of the primary teeth,Developmental hypoplasia of the primary teeth.,HP,HP:0006334,http://purl.obolibrary.org/obo/HP_0006334
Persistence of primary teeth,Persistence of the primary teeth beyond the age by which they normally are shed and replaced by the permanent teeth.,HP,HP:0006335,http://purl.obolibrary.org/obo/HP_0006335
Short dental root,"Tooth root length more than 2 SD below mean, or subjectively apparently decreased tooth root length.",HP,HP:0006336,http://purl.obolibrary.org/obo/HP_0006336
Premature eruption of permanent teeth,Premature tooth eruption of the permanent dentition.,HP,HP:0006337,http://purl.obolibrary.org/obo/HP_0006337
Malformation of mandibular premolar,An abnormality of the morphology of secondary premolar tooth.,HP,HP:0006338,http://purl.obolibrary.org/obo/HP_0006338
Conical mandibular incisor,An abnormal conical morphology of the primary or permanent mandibular incisors.,HP,HP:0006339,http://purl.obolibrary.org/obo/HP_0006339
Peg-shaped maxillary lateral incisors,A tooth crown with its mesial and distal sides converging or tapering toward the incisal edge causing severe reduction of mesiodistal diameter,HP,HP:0006342,http://purl.obolibrary.org/obo/HP_0006342
Abnormality of primary molar morphology,An abnormality of morphology of primary molar.,HP,HP:0006344,http://purl.obolibrary.org/obo/HP_0006344
Screwdriver-shaped incisors,"An abnormality of morphology of the incisor tooth in which the tooth is shaped like a screwdriver blade, i.e., having a rhomboid shape.",HP,HP:0006346,http://purl.obolibrary.org/obo/HP_0006346
Microdontia of primary teeth,Decreased size of the primary teeth.,HP,HP:0006347,http://purl.obolibrary.org/obo/HP_0006347
Agenesis of permanent teeth,"A congenital defect characterized by the absence of one or more permanent teeth, including oligodontia, hypodontia, and adontia of the of permanent teeth.",HP,HP:0006349,http://purl.obolibrary.org/obo/HP_0006349
Pulp obliteration,Mineralized substance filling the entire dental pulp space.,HP,HP:0006350,http://purl.obolibrary.org/obo/HP_0006350
Failure of eruption of permanent teeth,Lack of tooth eruption of the secondary dentition.,HP,HP:0006352,http://purl.obolibrary.org/obo/HP_0006352
Hypoplasia of the tooth germ,"Developmental hypoplasia of the tooth germ, i.e., of the structure that forms in odontogenesis that will develop into a tooth.",HP,HP:0006353,http://purl.obolibrary.org/obo/HP_0006353
Agenesis of mandibular central incisor,Agenesis of lower secondary incisor or lower primary incisor.,HP,HP:0006355,http://purl.obolibrary.org/obo/HP_0006355
Premature loss of permanent teeth,Premature loss of the permanent teeth.,HP,HP:0006357,http://purl.obolibrary.org/obo/HP_0006357
Shovel-shaped maxillary central incisors,A tooth with a crown with marked lingual or palatal marginal ridges causing scooped lingual or palatal surfaces.,HP,HP:0006358,http://purl.obolibrary.org/obo/HP_0006358
Irregular femoral epiphysis,,HP,HP:0006361,http://purl.obolibrary.org/obo/HP_0006361
Varus deformity of humeral neck,,HP,HP:0006362,http://purl.obolibrary.org/obo/HP_0006362
Adductor longus contractures,,HP,HP:0006366,http://purl.obolibrary.org/obo/HP_0006366
Crumpled long bones,"An crumpled radiographic appearance of the long bones, as if the long bone had been crushed together producing irregularities. This feature is the result of multiple fractures and repeated rounds of ineffective healing, as can be seen for instance in severe forms of osteogenesis imperfecta.",HP,HP:0006367,http://purl.obolibrary.org/obo/HP_0006367
Forearm reduction defects,,HP,HP:0006368,http://purl.obolibrary.org/obo/HP_0006368
Irregular patellae,An alteration of the normally relatively smooth margins of the kneecap in radiographic images leading to an irregular contour.,HP,HP:0006369,http://purl.obolibrary.org/obo/HP_0006369
Distal ulnar epiphyseal stippling,"The presence of abnormal punctate (speckled, dot-like) calcifications in the distal epiphysis of the ulna.",HP,HP:0006370,http://purl.obolibrary.org/obo/HP_0006370
Broad long bone diaphyses,Increased width of the diaphysis of long bones.,HP,HP:0006371,http://purl.obolibrary.org/obo/HP_0006371
Dumbbell-shaped femur,The femur is shortened and displays flaring (widening) of the metaphyses.,HP,HP:0006375,http://purl.obolibrary.org/obo/HP_0006375
Limited elbow flexion,,HP,HP:0006376,http://purl.obolibrary.org/obo/HP_0006376
Osteolysis of patellae,,HP,HP:0006378,http://purl.obolibrary.org/obo/HP_0006378
Proximal tibial hypoplasia,,HP,HP:0006379,http://purl.obolibrary.org/obo/HP_0006379
Knee flexion contracture,A bent (flexed) knee joint that cannot be straightened actively or passively.,HP,HP:0006380,http://purl.obolibrary.org/obo/HP_0006380
Rudimentary fibula,Absent or nearly absent fibula. (Does not include aplastic),HP,HP:0006381,http://purl.obolibrary.org/obo/HP_0006381
Progressive bowing of long bones,Progressive bending or abnormal curvature of a long bone.,HP,HP:0006383,http://purl.obolibrary.org/obo/HP_0006383
Club-shaped distal femur,An abnormal conformation of the femur that becomes gradually enlarged towards the distal end. This feature affects the distal femoral metaphysis and epiphysis.,HP,HP:0006384,http://purl.obolibrary.org/obo/HP_0006384
Short lower limbs,Shortening of the legs related to developmental hypoplasia of the bones of the leg.,HP,HP:0006385,http://purl.obolibrary.org/obo/HP_0006385
Hypoplastic distal radial epiphyses,Underdevelopment of the distal epiphysis of the radius.,HP,HP:0006386,http://purl.obolibrary.org/obo/HP_0006386
Wide distal femoral metaphysis,Increased width of the distal part of the shaft (metaphysis) of the femur.,HP,HP:0006387,http://purl.obolibrary.org/obo/HP_0006387
Limited knee flexion,Reduced ability to flex (bend) the knee joint.,HP,HP:0006389,http://purl.obolibrary.org/obo/HP_0006389
Anterior tibial bowing,An abnormal anterior bending or curvature of the tibia.,HP,HP:0006390,http://purl.obolibrary.org/obo/HP_0006390
Overtubulated long bones,"Overconstriction, or narrowness of the diaphysis and metaphysis of long bones.",HP,HP:0006391,http://purl.obolibrary.org/obo/HP_0006391
Increased density of long bones,An abnormal increase in the bone density of the long bones.,HP,HP:0006392,http://purl.obolibrary.org/obo/HP_0006392
Limited pronation/supination of forearm,A limitation of the ability to place the forearm in a position such that the palm faces anteriorly (supination) and to place the forearm in a position such that the palm faces posteriorly (pronation).,HP,HP:0006394,http://purl.obolibrary.org/obo/HP_0006394
Lateral displacement of patellae,,HP,HP:0006397,http://purl.obolibrary.org/obo/HP_0006397
Flat distal femoral epiphysis,An abnormal flattening of the distal epiphysis of femur.,HP,HP:0006398,http://purl.obolibrary.org/obo/HP_0006398
Absent knee epiphyses,,HP,HP:0006400,http://purl.obolibrary.org/obo/HP_0006400
Distal shortening of limbs,,HP,HP:0006402,http://purl.obolibrary.org/obo/HP_0006402
Club-shaped proximal femur,An abnormal conformation of the femur that becomes gradually enlarged towards the proximal end. This feature affects the proximal femoral metaphysis and epiphysis.,HP,HP:0006406,http://purl.obolibrary.org/obo/HP_0006406
Irregular distal femoral epiphysis,Anomaly of the contour of the Distal epiphysis of femur such that its normally smooth appearance is irregular.,HP,HP:0006407,http://purl.obolibrary.org/obo/HP_0006407
Distal tapering femur,,HP,HP:0006408,http://purl.obolibrary.org/obo/HP_0006408
Progressive leg bowing,Progressive bending or abnormal curvature of the leg.,HP,HP:0006409,http://purl.obolibrary.org/obo/HP_0006409
Broad tibial metaphyses,,HP,HP:0006413,http://purl.obolibrary.org/obo/HP_0006413
Distal tibial bowing,A bending or abnormal curvature of the distal portion of the tibia.,HP,HP:0006414,http://purl.obolibrary.org/obo/HP_0006414
Cortically dense long tubular bones,Increased density of the compact bone of long bone.,HP,HP:0006415,http://purl.obolibrary.org/obo/HP_0006415
Broad femoral metaphyses,,HP,HP:0006417,http://purl.obolibrary.org/obo/HP_0006417
Asymmetric radial dysplasia,The presence of asymmetric developmental dysplasia of the radius.,HP,HP:0006420,http://purl.obolibrary.org/obo/HP_0006420
Peg-like central prominence of distal tibial metaphyses,,HP,HP:0006423,http://purl.obolibrary.org/obo/HP_0006423
Elongated radius,Increased length of the radius.,HP,HP:0006424,http://purl.obolibrary.org/obo/HP_0006424
Rudimentary to absent tibiae,,HP,HP:0006426,http://purl.obolibrary.org/obo/HP_0006426
Broad femoral neck,"An abnormally wide femoral neck (which is the process of bone, connecting the femoral head with the femoral shaft).",HP,HP:0006429,http://purl.obolibrary.org/obo/HP_0006429
Proximal femoral metaphyseal abnormality,An anomaly of the metaphysis of the proximal femur (close to the hip).,HP,HP:0006431,http://purl.obolibrary.org/obo/HP_0006431
Trapezoidal distal femoral condyles,,HP,HP:0006432,http://purl.obolibrary.org/obo/HP_0006432
Radial dysplasia,"Radial dysplasia, also known as radial longitudinal deficiency, includes radial clubhand and is a disfiguring, and potentially disabling, congenital limb anomaly. The entire upper limb may be involved, although the defect is most evident in the forearm and hand. Affected children suffer a variable degree of hypoplasia or absence of the preaxial skeleton and soft tissues, in particular the thumb, radius, and dorsoradial soft tissues. The hand is usually radially deviated and subluxated off the distal aspect of the ulna, the ulna may be shortened and have a bow-shaped deformity, and there is no true wrist (radiocarpal) joint in Bayne2 type-III and IV radial dysplasia.",HP,HP:0006433,http://purl.obolibrary.org/obo/HP_0006433
Hypoplasia of proximal radius,Proximal radial shortening owing to a congenital defect of development.,HP,HP:0006434,http://purl.obolibrary.org/obo/HP_0006434
obsolete Shortening of the tibia,,HP,HP:0006436,http://purl.obolibrary.org/obo/HP_0006436
Disproportionate prominence of the femoral medial condyle,,HP,HP:0006437,http://purl.obolibrary.org/obo/HP_0006437
Enlargement of the distal femoral epiphysis,An abnormal enlargement of the distal epiphysis of the femur.,HP,HP:0006438,http://purl.obolibrary.org/obo/HP_0006438
Radioulnar dislocation,,HP,HP:0006439,http://purl.obolibrary.org/obo/HP_0006439
Increased density of long bone diaphyses,,HP,HP:0006440,http://purl.obolibrary.org/obo/HP_0006440
Lateral humeral condyle aplasia,,HP,HP:0006441,http://purl.obolibrary.org/obo/HP_0006441
Hypoplasia of proximal fibula,Underdevelopment or shortening of the end of the fibula (calf bone) nearest the knee.,HP,HP:0006442,http://purl.obolibrary.org/obo/HP_0006442
Patellar aplasia,Absence of the patella.,HP,HP:0006443,http://purl.obolibrary.org/obo/HP_0006443
Dysplastic patella,,HP,HP:0006446,http://purl.obolibrary.org/obo/HP_0006446
Distal radial epiphyseal osteolysis,,HP,HP:0006449,http://purl.obolibrary.org/obo/HP_0006449
Multicentric ossification of proximal femoral epiphyses,,HP,HP:0006450,http://purl.obolibrary.org/obo/HP_0006450
Lateral displacement of the femoral head,A developmental anomaly with lateral displacement of the femoral head.,HP,HP:0006453,http://purl.obolibrary.org/obo/HP_0006453
Delayed patellar ossification,Formation of bone in the patella later than normal.,HP,HP:0006454,http://purl.obolibrary.org/obo/HP_0006454
Irregular proximal tibial epiphyses,Anomaly of the contour of the proximal epiphysis of the tibia such that its normally smooth appearance is irregular.,HP,HP:0006456,http://purl.obolibrary.org/obo/HP_0006456
Dorsal subluxation of ulna,Partial dislocation of the ulna in the dorsal direction.,HP,HP:0006459,http://purl.obolibrary.org/obo/HP_0006459
Increased laxity of ankles,,HP,HP:0006460,http://purl.obolibrary.org/obo/HP_0006460
Proximal femoral epiphysiolysis,"Slipped capital femoral epiphysis is defined as a posterior and inferior slippage of the proximal epiphysis of the femur onto the metaphysis (femoral neck), occurring through the physeal plate during the early adolescent growth spurt.",HP,HP:0006461,http://purl.obolibrary.org/obo/HP_0006461
Generalized bone demineralization,A generalized decrease in bone mineral density.,HP,HP:0006462,http://purl.obolibrary.org/obo/HP_0006462
Rickets of the lower limbs,,HP,HP:0006463,http://purl.obolibrary.org/obo/HP_0006463
Periosteal thickening of long tubular bones,Thickening of the periosteum of long bone.,HP,HP:0006465,http://purl.obolibrary.org/obo/HP_0006465
Ankle flexion contracture,"A chronic loss of ankle joint motion due to structural changes in muscle, tendons, ligaments, or skin that prevent normal movement of the joints of the ankle.",HP,HP:0006466,http://purl.obolibrary.org/obo/HP_0006466
Limited shoulder movement,A limitation of the range of movement of the shoulder joint.,HP,HP:0006467,http://purl.obolibrary.org/obo/HP_0006467
Thin long bone diaphyses,Decreased width of the diaphysis of long bones.,HP,HP:0006470,http://purl.obolibrary.org/obo/HP_0006470
Fixed elbow flexion,,HP,HP:0006471,http://purl.obolibrary.org/obo/HP_0006471
Anterior bowing of long bones,An abnormal anterior curvature of a long bone.,HP,HP:0006473,http://purl.obolibrary.org/obo/HP_0006473
Abnormality of the pancreatic islet cells,"An abnormality of the islet of Langerhans, i.e., of the regions of the pancreas that contain its endocrine cells. These are the alpha cells, which produce glucagon, the beta cells, which produce insulin and amylin, the delta cells, which produce somatostatin, the PP cells, which produce pancreatic polypeptide, and the epsilon cells, which produce ghrelin.",HP,HP:0006476,http://purl.obolibrary.org/obo/HP_0006476
Abnormality of the alveolar ridges,Any abnormality of the alveolar ridges (on the upper or lower jaws). The alveolar ridges contain the sockets (alveoli) of the teeth.,HP,HP:0006477,http://purl.obolibrary.org/obo/HP_0006477
Abnormal dental pulp morphology,An abnormality of the dental pulp.,HP,HP:0006479,http://purl.obolibrary.org/obo/HP_0006479
Premature loss of teeth,Exfoliation of a tooth more than 2 SD earlier than the normal age for the deciduous teeth and not related to traume or neglect. Exfoliation of a permanent tooth is per se abnormal.,HP,HP:0006480,http://purl.obolibrary.org/obo/HP_0006480
Abnormality of primary teeth,Any abnormality of the primary tooth.,HP,HP:0006481,http://purl.obolibrary.org/obo/HP_0006481
Abnormality of dental morphology,An abnormality of the morphology of the tooth.,HP,HP:0006482,http://purl.obolibrary.org/obo/HP_0006482
Abnormal number of teeth,The presence of an altered number of of teeth.,HP,HP:0006483,http://purl.obolibrary.org/obo/HP_0006483
