,value,definition,codesystem,code,iri
5311,Late onset congenital glaucoma,,HP,HP:0008041,http://purl.obolibrary.org/obo/HP_0008041
5312,Retinal arteriolar constriction,"Decreased retinal arteriolar diameters, which may decrease blood flow and slow oxygen delivery to regions of the retina.",HP,HP:0008043,http://purl.obolibrary.org/obo/HP_0008043
5313,Enlarged flash visual evoked potentials,,HP,HP:0008045,http://purl.obolibrary.org/obo/HP_0008045
5314,Abnormal retinal vascular morphology,A structural abnormality of retinal vasculature.,HP,HP:0008046,http://purl.obolibrary.org/obo/HP_0008046
5315,Abnormality of the vasculature of the eye,,HP,HP:0008047,http://purl.obolibrary.org/obo/HP_0008047
5316,Abnormality of the line of Schwalbe,An abnormality of the line of Schwalbe.,HP,HP:0008048,http://purl.obolibrary.org/obo/HP_0008048
5317,Abnormality of the extraocular muscles,An abnormality of an extraocular muscle.,HP,HP:0008049,http://purl.obolibrary.org/obo/HP_0008049
5318,Abnormality of the palpebral fissures,An anomaly of the space between the medial and lateral canthi of the two open eyelids.,HP,HP:0008050,http://purl.obolibrary.org/obo/HP_0008050
5319,obsolete Abnormality of the retinal pigment epithelium,,HP,HP:0008051,http://purl.obolibrary.org/obo/HP_0008051
5320,Retinal fold,A wrinkle of retinal tissue projecting outward from the surface of the retina and visible as a line on fundoscopy.,HP,HP:0008052,http://purl.obolibrary.org/obo/HP_0008052
5321,Aplasia/Hypoplasia of the iris,Absence or underdevelopment of the iris.,HP,HP:0008053,http://purl.obolibrary.org/obo/HP_0008053
5322,Abnormal morphology of the conjunctival vasculature,Any abnormality of the blood vessels of the conjunctiva.,HP,HP:0008054,http://purl.obolibrary.org/obo/HP_0008054
5323,Aplasia/Hypoplasia affecting the uvea,"Absence or underdevelopment of the uvea, the pigmented middle layer of the eye consisting of the iris and ciliary body together with the choroid.",HP,HP:0008055,http://purl.obolibrary.org/obo/HP_0008055
5324,Aplasia/Hypoplasia affecting the eye,,HP,HP:0008056,http://purl.obolibrary.org/obo/HP_0008056
5325,Aplasia/Hypoplasia affecting the fundus,,HP,HP:0008057,http://purl.obolibrary.org/obo/HP_0008057
5326,Aplasia/Hypoplasia of the optic nerve,,HP,HP:0008058,http://purl.obolibrary.org/obo/HP_0008058
5327,Aplasia/Hypoplasia of the macula,,HP,HP:0008059,http://purl.obolibrary.org/obo/HP_0008059
5328,Aplasia/Hypoplasia of the fovea,Congenital absence or underdevelopment of the fovea centralis.,HP,HP:0008060,http://purl.obolibrary.org/obo/HP_0008060
5329,Aplasia/Hypoplasia of the retina,,HP,HP:0008061,http://purl.obolibrary.org/obo/HP_0008061
5330,Aplasia/Hypoplasia affecting the anterior segment of the eye,Absence or underdevelopment of the anterior segment of the eye.,HP,HP:0008062,http://purl.obolibrary.org/obo/HP_0008062
5331,Aplasia/Hypoplasia of the lens,Absence or underdevelopment of the lens.,HP,HP:0008063,http://purl.obolibrary.org/obo/HP_0008063
5332,Ichthyosis,An abnormality of the skin characterized the presence of excessive amounts of dry surface scales on the skin resulting from an abnormality of keratinization.,HP,HP:0008064,http://purl.obolibrary.org/obo/HP_0008064
5333,Aplasia/Hypoplasia of the skin,,HP,HP:0008065,http://purl.obolibrary.org/obo/HP_0008065
5334,Abnormal blistering of the skin,"The presence of one or more bullae on the skin, defined as fluid-filled blisters more than 5 mm in diameter with thin walls.",HP,HP:0008066,http://purl.obolibrary.org/obo/HP_0008066
5335,Abnormally lax or hyperextensible skin,,HP,HP:0008067,http://purl.obolibrary.org/obo/HP_0008067
5336,Neoplasm of the skin,A tumor (abnormal growth of tissue) of the skin.,HP,HP:0008069,http://purl.obolibrary.org/obo/HP_0008069
5337,Sparse hair,Reduced density of hairs.,HP,HP:0008070,http://purl.obolibrary.org/obo/HP_0008070
5338,Maternal hypertension,Increased blood pressure during a pregnancy.,HP,HP:0008071,http://purl.obolibrary.org/obo/HP_0008071
5339,Maternal virilization in pregnancy,"Virilization (deepening of voice, facial hirsutism and scalp hair loss) with onset during pregnancy (usually towards the end of the first trimester) and regression several months post-partum.",HP,HP:0008072,http://purl.obolibrary.org/obo/HP_0008072
5340,Low maternal serum estriol,An abnormally high concentration of serum conjugated estriol as compared to normal values for gestational-age.,HP,HP:0008073,http://purl.obolibrary.org/obo/HP_0008073
5341,Metatarsal periosteal thickening,,HP,HP:0008074,http://purl.obolibrary.org/obo/HP_0008074
5342,Progressive pes cavus,The development of Pes cavus that is progressive with age.,HP,HP:0008075,http://purl.obolibrary.org/obo/HP_0008075
5343,Osteoporotic tarsals,"Reduction in bone mineral density affecting any or all of the tarsal bones, seven bones of the foot comprising the calcaneus, talus, cuboid, navicular, and the cuneiform bones.",HP,HP:0008076,http://purl.obolibrary.org/obo/HP_0008076
5344,Thin metatarsal cortices,,HP,HP:0008078,http://purl.obolibrary.org/obo/HP_0008078
5345,Absent fifth metatarsal,A developmental abnormality characterized by the absence of the fifth metatarsal bone.,HP,HP:0008079,http://purl.obolibrary.org/obo/HP_0008079
5346,Hallux varus,Medial deviation of the great toe owing to a deformity of the great toe joint causing the hallux to deviate medially.,HP,HP:0008080,http://purl.obolibrary.org/obo/HP_0008080
5347,Pes valgus,An outward deviation of the foot at the talocalcaneal or subtalar joint.,HP,HP:0008081,http://purl.obolibrary.org/obo/HP_0008081
5348,Medial deviation of the foot,,HP,HP:0008082,http://purl.obolibrary.org/obo/HP_0008082
5349,2nd-5th toe middle phalangeal hypoplasia,,HP,HP:0008083,http://purl.obolibrary.org/obo/HP_0008083
5350,Nonossified fifth metatarsal,The presence of a fifth metatarsal bone that has not undergone ossification at an age when ossification is usually visible.,HP,HP:0008087,http://purl.obolibrary.org/obo/HP_0008087
5351,Abnormality of the fifth metatarsal bone,An anomaly of the fifth metatarsal bone.,HP,HP:0008089,http://purl.obolibrary.org/obo/HP_0008089
5352,Ankylosis of feet small joints,,HP,HP:0008090,http://purl.obolibrary.org/obo/HP_0008090
5353,Short 4th toe,Underdevelopment (hypoplasia) of the fourth toe.,HP,HP:0008093,http://purl.obolibrary.org/obo/HP_0008093
5354,Widely spaced toes,An overall widening of the spaces between the digits.,HP,HP:0008094,http://purl.obolibrary.org/obo/HP_0008094
5355,Osteolysis of talus,Osteolysis affecting the talus.,HP,HP:0008095,http://purl.obolibrary.org/obo/HP_0008095
5356,Medially deviated second toe,Medial deviation of the second toe.,HP,HP:0008096,http://purl.obolibrary.org/obo/HP_0008096
5357,Partial fusion of tarsals,,HP,HP:0008097,http://purl.obolibrary.org/obo/HP_0008097
5358,Expanded metatarsals with widened medullary cavities,,HP,HP:0008102,http://purl.obolibrary.org/obo/HP_0008102
5359,Delayed tarsal ossification,"Delayed maturation and calcification of any of the tarsal bones, seven bones of the foot comprising the calcaneus, talus, cuboid, navicular, and the cuneiform bones.",HP,HP:0008103,http://purl.obolibrary.org/obo/HP_0008103
5360,Plantar crease between first and second toes,The presence of unusually deep creases (ridges/wrinkles) on the skin of sole of foot located between the first and second toe.,HP,HP:0008107,http://purl.obolibrary.org/obo/HP_0008107
5361,Advanced tarsal ossification,"Precocious (accelerated) maturation and calcification of any of the tarsal bones, seven bones of the foot comprising the calcaneus, talus, cuboid, navicular, and the cuneiform bones.",HP,HP:0008108,http://purl.obolibrary.org/obo/HP_0008108
5362,Equinovarus deformity,,HP,HP:0008110,http://purl.obolibrary.org/obo/HP_0008110
5363,Broad distal hallux,,HP,HP:0008111,http://purl.obolibrary.org/obo/HP_0008111
5364,Plantar flexion contractures,,HP,HP:0008112,http://purl.obolibrary.org/obo/HP_0008112
5365,Multiple plantar creases,,HP,HP:0008113,http://purl.obolibrary.org/obo/HP_0008113
5366,Metatarsal diaphyseal endosteal sclerosis,Osteosclerosis of the endosteal surface of the diaphyses (shafts) of the metatarsal bones.,HP,HP:0008114,http://purl.obolibrary.org/obo/HP_0008114
5367,Clinodactyly of the 3rd toe,"Bending or curvature of a third toe in the tibial direction (i.e., towards the big toe).",HP,HP:0008115,http://purl.obolibrary.org/obo/HP_0008115
5368,Flexion limitation of toes,Limitation of the ability to bend the toes.,HP,HP:0008116,http://purl.obolibrary.org/obo/HP_0008116
5369,Shortening of the talar neck,,HP,HP:0008117,http://purl.obolibrary.org/obo/HP_0008117
5370,Deformed tarsal bones,,HP,HP:0008119,http://purl.obolibrary.org/obo/HP_0008119
5371,Calcaneonavicular fusion,Synostosis of the calcaneus with the navicular bone.,HP,HP:0008122,http://purl.obolibrary.org/obo/HP_0008122
5372,Talipes calcaneovarus,"A congenital deformity characterized by a dorsiflexed, inverted, and adducted foot, i.e., a combination of talipes calcaneus and talipes varus.",HP,HP:0008124,http://purl.obolibrary.org/obo/HP_0008124
5373,Second metatarsal posteriorly placed,,HP,HP:0008125,http://purl.obolibrary.org/obo/HP_0008125
5374,Bipartite calcaneus,"A two-part calcaneus, a finding that probably results from delayed coalescence of two primary calcaneal centers of ossification.",HP,HP:0008127,http://purl.obolibrary.org/obo/HP_0008127
5375,Tarsal stippling,"The presence of abnormal punctate (speckled, dot-like) calcifications in one or more tarsal bones.",HP,HP:0008131,http://purl.obolibrary.org/obo/HP_0008131
5376,Medial rotation of the medial malleolus,,HP,HP:0008132,http://purl.obolibrary.org/obo/HP_0008132
5377,Distal tapering of metatarsals,,HP,HP:0008133,http://purl.obolibrary.org/obo/HP_0008133
5378,Irregular tarsal ossification,"Defective ossification in an irregular pattern of the seven bones of the foot comprising the calcaneus, talus, cuboid, navicular, and the cuneiform bones.",HP,HP:0008134,http://purl.obolibrary.org/obo/HP_0008134
5379,Equinus calcaneus,Abnormal plantar flexion of the calcaneus relative to the longitudinal axis of the tibia. This results in the angle between the long axis of the tibia and the long axis of the heel bone (calcaneus) being greater than 90 degrees.,HP,HP:0008138,http://purl.obolibrary.org/obo/HP_0008138
5380,Dislocation of toes,,HP,HP:0008141,http://purl.obolibrary.org/obo/HP_0008141
5381,Delayed calcaneal ossification,Delayed maturation and calcification of the calcaneus.,HP,HP:0008142,http://purl.obolibrary.org/obo/HP_0008142
5382,Flattening of the talar dome,,HP,HP:0008144,http://purl.obolibrary.org/obo/HP_0008144
5383,Impaired epinephrine-induced platelet aggregation,Abnormal response to epinephrine as manifested by reduced or lacking aggregation of platelets upon addition of epinephrine.,HP,HP:0008148,http://purl.obolibrary.org/obo/HP_0008148
5384,Elevated serum transaminases during infections,Elevations of the levels of SGOT (serum glutamic oxaloacetic transaminase) and SGPT (serum glutamic pyruvic transaminase) that occur during infections.,HP,HP:0008150,http://purl.obolibrary.org/obo/HP_0008150
5385,Prolonged prothrombin time,"Increased time to coagulation in the prothrombin time test, which is a measure of the extrinsic pathway of coagulation. The results of the prothrombin time test are often expressed in terms of the International normalized ratio (INR), which is calculated as a ratio of the patient's prothrombin time (PT) to a control PT standardized for the potency of the thromboplastin reagent developed by the World Health Organization (WHO) using the formula: INR is equal to Patient PT divided by Control PT.",HP,HP:0008151,http://purl.obolibrary.org/obo/HP_0008151
5386,Periodic hypokalemic paresis,Episodes of muscle weakness associated with reduced levels of potassium in the blood.,HP,HP:0008153,http://purl.obolibrary.org/obo/HP_0008153
5387,Mucopolysacchariduria,Excessive amounts of mucopolysaccharide in the urine.,HP,HP:0008155,http://purl.obolibrary.org/obo/HP_0008155
5388,Hyperapobetalipoproteinemia,Hyperapobetalipoproteinemia is defined as the combination of a normal low density lipoprotein (LDL) cholesterol in the face of an increased LDL apolipoprotein B (apoB) protein.,HP,HP:0008158,http://purl.obolibrary.org/obo/HP_0008158
5389,3-hydroxydicarboxylic aciduria,An increase in the level of 3-hydroxydicarboxylic acid in the urine.,HP,HP:0008160,http://purl.obolibrary.org/obo/HP_0008160
5390,Absent leukocyte alkaline phosphatase,Alkaline phosphatase levels measured within leukocytes is below detectable levels.,HP,HP:0008161,http://purl.obolibrary.org/obo/HP_0008161
5391,Asymptomatic hyperammonemia,An increased concentration of ammonia in the blood not associated with symptoms such as encephalopathy.,HP,HP:0008162,http://purl.obolibrary.org/obo/HP_0008162
5392,Decreased circulating cortisol level,Abnormally reduced concentration of cortisol in the blood.,HP,HP:0008163,http://purl.obolibrary.org/obo/HP_0008163
5393,Decreased helper T cell proportion,Reduced proportion of helper T cells relative to the total number of T cells.,HP,HP:0008165,http://purl.obolibrary.org/obo/HP_0008165
5394,Decreased beta-galactosidase activity,"Abnormally decreased rate of beta-galactosidase activity. Beta-galactosidase activity can be measured in leukocyte, fibroblast, or plasma.",HP,HP:0008166,http://purl.obolibrary.org/obo/HP_0008166
5395,Very long chain fatty acid accumulation,,HP,HP:0008167,http://purl.obolibrary.org/obo/HP_0008167
5396,Reduced factor VII activity,"Reduced activity of coagulation factor VII. Factor VII is part of the extrinsic coagulation pathway, which is initiated at the site of injury in response to the release of tissue factor (fIII). Tissue factor and activated factor VII catalyze the activation of factor X.",HP,HP:0008169,http://purl.obolibrary.org/obo/HP_0008169
5397,Neonatal unconjugated hyperbilirubinemia,,HP,HP:0008176,http://purl.obolibrary.org/obo/HP_0008176
5398,Abnormal cartilage matrix,,HP,HP:0008178,http://purl.obolibrary.org/obo/HP_0008178
5399,Decreased Arden ratio of electrooculogram,"An abnormal reduction in the Arden ratio, which is the ratio between the light peak and the dark trough of the smoothed (physiologic) EOG record.",HP,HP:0008179,http://purl.obolibrary.org/obo/HP_0008179
5400,Mildly elevated creatine kinase,,HP,HP:0008180,http://purl.obolibrary.org/obo/HP_0008180
5401,Abetalipoproteinemia,An absence of low-density lipoprotein cholesterol in the blood.,HP,HP:0008181,http://purl.obolibrary.org/obo/HP_0008181
5402,Adrenocortical hypoplasia,,HP,HP:0008182,http://purl.obolibrary.org/obo/HP_0008182
5403,Precocious puberty in males,The onset of puberty before the age of 9 years in boys.,HP,HP:0008185,http://purl.obolibrary.org/obo/HP_0008185
5404,Adrenocortical cytomegaly,The presence of large polyhedral cells with eosinophilic granular cytoplasm and enlarged nuclei in the adrenal cortex.,HP,HP:0008186,http://purl.obolibrary.org/obo/HP_0008186
5405,Absence of secondary sex characteristics,No secondary sexual characteristics are present at puberty.,HP,HP:0008187,http://purl.obolibrary.org/obo/HP_0008187
5406,Thyroid dysgenesis,,HP,HP:0008188,http://purl.obolibrary.org/obo/HP_0008188
5407,Insulin insensitivity,Decreased sensitivity toward insulin.,HP,HP:0008189,http://purl.obolibrary.org/obo/HP_0008189
5408,Thyroid agenesis,The congenital absence of the thyroid gland.,HP,HP:0008191,http://purl.obolibrary.org/obo/HP_0008191
5409,Primary gonadal insufficiency,,HP,HP:0008193,http://purl.obolibrary.org/obo/HP_0008193
5410,Multiple pancreatic beta-cell adenomas,The presence of multiple pancreatic islet cell adenomas.,HP,HP:0008194,http://purl.obolibrary.org/obo/HP_0008194
5411,Absence of pubertal development,,HP,HP:0008197,http://purl.obolibrary.org/obo/HP_0008197
5412,Congenital hypoparathyroidism,Deficiency of parathyroid hormone with congenital onset.,HP,HP:0008198,http://purl.obolibrary.org/obo/HP_0008198
5413,Primary hyperparathyroidism,"A type of hyperparathyroidism caused by a primary abnormality of the parathyroid glands (e.g., adenoma, carcinoma, hyperplasia). Primary hyperparathyroidism is associated with hyercalcemia.",HP,HP:0008200,http://purl.obolibrary.org/obo/HP_0008200
5414,Reduced circulating prolactin concentration,A reduced level of prolactin in the blood circulation. Prolactin is a protein hormone that is secreted by lactotrophs in the anterior pituitary and that stimulates mammary gland development and milk production.,HP,HP:0008202,http://purl.obolibrary.org/obo/HP_0008202
5415,Precocious puberty with Sertoli cell tumor,,HP,HP:0008204,http://purl.obolibrary.org/obo/HP_0008204
5416,Insulin-dependent but ketosis-resistant diabetes,Ketosis-resistant diabetes is a synonym for type II diabetes. This term thus refers to a form of type II diabetes in which patients are dependent on insulin.,HP,HP:0008205,http://purl.obolibrary.org/obo/HP_0008205
5417,Primary adrenal insufficiency,Insufficient production of steroid hormones (primarily cortisol) by the adrenal glands as a result of a primary defect in the glands themselves.,HP,HP:0008207,http://purl.obolibrary.org/obo/HP_0008207
5418,Parathyroid hyperplasia,Hyperplasia of the parathyroid gland.,HP,HP:0008208,http://purl.obolibrary.org/obo/HP_0008208
5419,Premature ovarian insufficiency,Amenorrhea due to loss of ovarian function before the age of 40. Primary ovarian inssuficiency (POI) is a state of female hypergonadotropic hypogonadism. It can manifest as primary amenorrhea with onset before menarche or secondary amenorrhea.,HP,HP:0008209,http://purl.obolibrary.org/obo/HP_0008209
5420,Parathyroid agenesis,Aplasia of the parathyroid gland.,HP,HP:0008211,http://purl.obolibrary.org/obo/HP_0008211
5421,Gonadotropin deficiency,"A reduced ability to secrete gonadotropins, which are protein hormones secreted by gonadotrope cells of the anterior pituitary gland, including the hormones follitropin (FSH) and luteinizing hormone (LH).",HP,HP:0008213,http://purl.obolibrary.org/obo/HP_0008213
5422,Decreased serum estradiol,A reduction below normal concentration of estradiol in the circulation.,HP,HP:0008214,http://purl.obolibrary.org/obo/HP_0008214
5423,Adrenal gland dysgenesis,Abnormal development of the adrenal gland.,HP,HP:0008216,http://purl.obolibrary.org/obo/HP_0008216
5424,Adrenal hyperplasia,Enlargement of the adrenal gland.,HP,HP:0008221,http://purl.obolibrary.org/obo/HP_0008221
5425,Female infertility,,HP,HP:0008222,http://purl.obolibrary.org/obo/HP_0008222
5426,Compensated hypothyroidism,Condition associated with a raised serum concentration of thyroid stimulating hormone (TSH) but a normal serum free thyroxine (FT4).,HP,HP:0008223,http://purl.obolibrary.org/obo/HP_0008223
5427,Thyroid follicular hyperplasia,,HP,HP:0008225,http://purl.obolibrary.org/obo/HP_0008225
5428,Androgen insufficiency,Insufficient amount of androgenic activity.,HP,HP:0008226,http://purl.obolibrary.org/obo/HP_0008226
5429,Pituitary resistance to thyroid hormone,"A condition in which the pituitary gland is partially resistant to thyroid hormone, so that it continues to secrete thyroid-stimulating hormone (TSH) until the blood level of thyroid hormone rises higher than normal.",HP,HP:0008227,http://purl.obolibrary.org/obo/HP_0008227
5430,Thyroid lymphangiectasia,The presence of lymphangiectasis of the thyroid gland.,HP,HP:0008229,http://purl.obolibrary.org/obo/HP_0008229
5431,obsolete Decreased testosterone in males,,HP,HP:0008230,http://purl.obolibrary.org/obo/HP_0008230
5432,Macronodular adrenal hyperplasia,,HP,HP:0008231,http://purl.obolibrary.org/obo/HP_0008231
5433,Elevated circulating follicle stimulating hormone level,An elevated concentration of follicle-stimulating hormone in the blood.,HP,HP:0008232,http://purl.obolibrary.org/obo/HP_0008232
5434,Decreased circulating progesterone,An reduced concentration of progesterone in the blood.,HP,HP:0008233,http://purl.obolibrary.org/obo/HP_0008233
5435,Isosexual precocious puberty,,HP,HP:0008236,http://purl.obolibrary.org/obo/HP_0008236
5436,Hypothalamic hypothyroidism,A type of hypothyroidism that results from a defect in thyrotropin-releasing hormone activity.,HP,HP:0008237,http://purl.obolibrary.org/obo/HP_0008237
5437,Adrenal medullary hypoplasia,Developmental hypoplasia of the adrenal medulla.,HP,HP:0008239,http://purl.obolibrary.org/obo/HP_0008239
5438,Secondary growth hormone deficiency,,HP,HP:0008240,http://purl.obolibrary.org/obo/HP_0008240
5439,Pseudohypoaldosteronism,A state of renal tubular unresponsiveness or resistance to the action of aldosterone.,HP,HP:0008242,http://purl.obolibrary.org/obo/HP_0008242
5440,Congenital adrenal hypoplasia,A type of adrenal hypoplasia with congenital onset.,HP,HP:0008244,http://purl.obolibrary.org/obo/HP_0008244
5441,Pituitary hypothyroidism,A type of hypothyroidism that results from a defect in thyroid-stimulating hormone secretion.,HP,HP:0008245,http://purl.obolibrary.org/obo/HP_0008245
5442,Euthyroid hyperthyroxinemia,An abnormality of thyroid physiology (HP:0002926) characterized by increased levels of thyroxine without evidence of clinical thyroid disease.,HP,HP:0008247,http://purl.obolibrary.org/obo/HP_0008247
5443,Thyroid hyperplasia,Hyperplasia of the thyroid gland.,HP,HP:0008249,http://purl.obolibrary.org/obo/HP_0008249
5444,Infantile hypercalcemia,,HP,HP:0008250,http://purl.obolibrary.org/obo/HP_0008250
5445,Congenital goiter,An enlargement of the thyroid gland with congenital onset.,HP,HP:0008251,http://purl.obolibrary.org/obo/HP_0008251
5446,Transient neonatal diabetes mellitus,,HP,HP:0008255,http://purl.obolibrary.org/obo/HP_0008255
5447,Adrenocortical adenoma,Adrenocortical adenomas are benign tumors of the adrenal cortex.,HP,HP:0008256,http://purl.obolibrary.org/obo/HP_0008256
5448,Congenital adrenal hyperplasia,A type of adrenal hyperplasia with congenital onset.,HP,HP:0008258,http://purl.obolibrary.org/obo/HP_0008258
5449,Adrenocorticotropin receptor defect,Adrenal insufficiency secondary to a defect in the ACTH receptor.,HP,HP:0008259,http://purl.obolibrary.org/obo/HP_0008259
5450,Pancreatic islet cell adenoma,The presence of an adenoma of the pancreas with origin in a pancreatic B cell.,HP,HP:0008261,http://purl.obolibrary.org/obo/HP_0008261
5451,Thyroid defect in oxidation and organification of iodide,,HP,HP:0008263,http://purl.obolibrary.org/obo/HP_0008263
5452,Neutrophil inclusion bodies,"The presence of intracellular inclusion bodies (aggregates of stainable substances, usually proteins) in neutrophils. Cytoplasmic neutrophil inclusions (oval, basophilic) are also known as Doehle bodies.",HP,HP:0008264,http://purl.obolibrary.org/obo/HP_0008264
5453,Mitochondrial lysine transport defect,,HP,HP:0008265,http://purl.obolibrary.org/obo/HP_0008265
5454,Increased red cell hemolysis by shear stress,,HP,HP:0008269,http://purl.obolibrary.org/obo/HP_0008269
5455,Abnormal cartilage collagen,"Abnormal morphology of collagen fibers in cartilage. In cartilage, collagen II, actually a collagen II:IX:XI heterofibril, is by far the most important type of collagen. A number of abnormalities may be appreciated by electron micrography or biochemical investigations, including sparse collagen fibers in the cartilage matrix.",HP,HP:0008271,http://purl.obolibrary.org/obo/HP_0008271
5456,Renal tubular lysine transport defect,,HP,HP:0008272,http://purl.obolibrary.org/obo/HP_0008272
5457,Transient aminoaciduria,,HP,HP:0008273,http://purl.obolibrary.org/obo/HP_0008273
5458,Abnormal light-adapted electroretinogram,,HP,HP:0008275,http://purl.obolibrary.org/obo/HP_0008275
5459,Abnormal blood zinc concentration,An abnormality of zinc ion homeostasis.,HP,HP:0008277,http://purl.obolibrary.org/obo/HP_0008277
5460,Cerebellar cortical atrophy,Atrophy (wasting) of the cerebellar cortex.,HP,HP:0008278,http://purl.obolibrary.org/obo/HP_0008278
5461,Transient hyperlipidemia,,HP,HP:0008279,http://purl.obolibrary.org/obo/HP_0008279
5462,Acute hyperammonemia,An increased concentration of ammonia in the blood with sudden onset.,HP,HP:0008281,http://purl.obolibrary.org/obo/HP_0008281
5463,Unconjugated hyperbilirubinemia,An increased amount of unconjugated (indirect) bilurubin in the blood.,HP,HP:0008282,http://purl.obolibrary.org/obo/HP_0008282
5464,Fasting hyperinsulinemia,"An increased concentration of insulin in the blood in the fasting state, i.e., not as the response to food intake.",HP,HP:0008283,http://purl.obolibrary.org/obo/HP_0008283
5465,Transient hypophosphatemia,,HP,HP:0008285,http://purl.obolibrary.org/obo/HP_0008285
5466,Nonketotic hyperglycinemia,,HP,HP:0008288,http://purl.obolibrary.org/obo/HP_0008288
5467,Partial complement factor H deficiency,A partial reduction in level of the complement component Factor H in circulation.,HP,HP:0008290,http://purl.obolibrary.org/obo/HP_0008290
5468,Pituitary corticotropic cell adenoma,A type of pituitary adenoma that produces adrenocorticotropic hormone (ACTH).,HP,HP:0008291,http://purl.obolibrary.org/obo/HP_0008291
5469,Long-chain dicarboxylic aciduria,An increase in the level of long-chain dicarboxylic acid in the urine.,HP,HP:0008293,http://purl.obolibrary.org/obo/HP_0008293
5470,Transient hyperphenylalaninemia,"A condition of not having consistently high levels of phenylalanine in the blood but of experiencing temporary hyperphenylalaninemia following ingestion of large quantities of phenylalanine (for instance, following an oral loading test with phenylalanine).",HP,HP:0008297,http://purl.obolibrary.org/obo/HP_0008297
5471,Dermatan sulfate excretion in urine,An increased concentration of dermatan sulfate in the urine.,HP,HP:0008301,http://purl.obolibrary.org/obo/HP_0008301
5472,Olivary degeneration,"Degeneration of the olivary bodies, prominent oval structures in the medulla oblongata.",HP,HP:0008303,http://purl.obolibrary.org/obo/HP_0008303
5473,Exercise-induced myoglobinuria,Presence of myoglobin in the urine following exercise.,HP,HP:0008305,http://purl.obolibrary.org/obo/HP_0008305
5474,Abnormal iron deposition in mitochondria,,HP,HP:0008306,http://purl.obolibrary.org/obo/HP_0008306
5475,Medium chain dicarboxylic aciduria,An increase in the level of medium chain dicarboxylic acid in the urine.,HP,HP:0008309,http://purl.obolibrary.org/obo/HP_0008309
5476,Spinal cord posterior columns myelin loss,,HP,HP:0008311,http://purl.obolibrary.org/obo/HP_0008311
5477,Decreased activity of mitochondrial complex II,"A reduction in the activity of the mitochondrial respiratory chain complex II, which is part of the electron transport chain in mitochondria.",HP,HP:0008314,http://purl.obolibrary.org/obo/HP_0008314
5478,Decreased plasma free carnitine,A decreased concentration of free (unbound) carnitine in the blood.,HP,HP:0008315,http://purl.obolibrary.org/obo/HP_0008315
5479,Abnormal mitochondria in muscle tissue,An abnormality of the mitochondria in muscle tissue.,HP,HP:0008316,http://purl.obolibrary.org/obo/HP_0008316
5480,Elevated leukocyte alkaline phosphatase,Increased alkaline phosphatase measured within leukocytes.,HP,HP:0008318,http://purl.obolibrary.org/obo/HP_0008318
5481,Impaired collagen-induced platelet aggregation,Abnormal response to collagen or collagen-mimetics as manifested by reduced or lacking aggregation of platelets upon addition collagen or collagen-mimetics.,HP,HP:0008320,http://purl.obolibrary.org/obo/HP_0008320
5482,Reduced factor X activity,"Reduced activity of coagulation factor X. The extrinsic and intrinsic pathways converge at factor X (fX). The extrinsic pathway activates fX by means of d factor VII with its cofactor, tissue factor. The intrinsic pathway activates fX by means of the tenase complex (Ca2+ and factors VIIIa, IXa and X) on the surface of activated platelets. Factor Xa in turn activates prothrombin (factor II) to thrombin (factor IIa).",HP,HP:0008321,http://purl.obolibrary.org/obo/HP_0008321
5483,Abnormal mitochondrial morphology,Any structural anomaly of the mitochondria.,HP,HP:0008322,http://purl.obolibrary.org/obo/HP_0008322
5484,Abnormal light- and dark-adapted electroretinogram,An abnormality of the combined rod-and-cone response on electroretinogram.,HP,HP:0008323,http://purl.obolibrary.org/obo/HP_0008323
5485,Reduced circulating vitamin B6 level,An abnormally decreased concentration of vitamin B6 in the blood circulation.,HP,HP:0008326,http://purl.obolibrary.org/obo/HP_0008326
5486,Microscopic nephrocalcinosis,The presence of microscopic crystalline calcium precipitates in the form of oxalate and/or phosphate in the renal parenchyma.,HP,HP:0008327,http://purl.obolibrary.org/obo/HP_0008327
5487,Reduced von Willebrand factor activity,Decreased activity of von Willebrand factor. Von Willebrand factor mediates the adhesion of platelets to the collagen exposed on endothelial cell surfaces.,HP,HP:0008330,http://purl.obolibrary.org/obo/HP_0008330
5488,Elevated creatine kinase after exercise,,HP,HP:0008331,http://purl.obolibrary.org/obo/HP_0008331
5489,obsolete Renal aminoaciduria,,HP,HP:0008335,http://purl.obolibrary.org/obo/HP_0008335
5490,Complex organic aciduria,,HP,HP:0008336,http://purl.obolibrary.org/obo/HP_0008336
5491,Partial functional complement factor D deficiency,A partial reduction in level of the complement component Factor D in circulation.,HP,HP:0008338,http://purl.obolibrary.org/obo/HP_0008338
5492,Diaminoaciduria,"An increased urine level of any amino acid carrying two amino groups (Asparagine, glutamine and lysine, cystine, ornithine).",HP,HP:0008339,http://purl.obolibrary.org/obo/HP_0008339
5493,Distal renal tubular acidosis,"A type of renal tubular acidosis characterized by a failure of acid secretion by the alpha intercalated cells of the cortical collecting duct of the distal nephron. The urine cannot be acidified below a pH of 5.3, associated with acidemia and hypokalemia.",HP,HP:0008341,http://purl.obolibrary.org/obo/HP_0008341
5494,Elevated plasma branched chain amino acids,An increased concentration of a branched chain amino acid in the blood.,HP,HP:0008344,http://purl.obolibrary.org/obo/HP_0008344
